Q854	I50	" +++ADD "
Q871	I261	" +++ADD "
Q887	I1	" ---drop "
Q918	I18	" ---drop "
Q918	I228	" +++ADD "
Q948	I50	" ---drop "
Q948	I54	" ---drop "
Q948	I265	" ---drop "
Q948	I6	" +++ADD "
Q948	I7	" +++ADD "
Q948	I43	" +++ADD "
Q948	I78	" +++ADD "
Q949	I14	" ---drop "
Q1022	I261	" ---drop "
Q1027	I6	" ---drop "
Q1027	I7	" ---drop "
Q1027	I43	" ---drop "
Q1027	I78	" ---drop "
Q1027	I228	" ---drop "
Q1027	I1	" +++ADD "
Q1027	I18	" +++ADD "
Q1027	I50	" +++ADD "
Q1027	I54	" +++ADD "
Q1027	I265	" +++ADD "
Q1193	I54	" ---drop "
Q1193	I265	" ---drop "
Q1193	I6	" +++ADD "
Q1193	I7	" +++ADD "
Q1193	I43	" +++ADD "
Q1194	I1	" ---drop "
Q1215	I261	" +++ADD "
Q1231	I261	" ---drop "
Q1262	I261	" +++ADD "
Q1269	I261	" ---drop "
Q1295	I261	" +++ADD "
Q1309	I261	" ---drop "
Q1318	I261	" +++ADD "
Q1339	I261	" ---drop "
Q1358	I261	" +++ADD "
Q1363	I261	" ---drop "
Q1376	I6	" ---drop "
Q1376	I18	" ---drop "
Q1376	I43	" ---drop "
Q1376	I50	" ---drop "
Q1376	I14	" +++ADD "
Q1376	I54	" +++ADD "
Q1376	I78	" +++ADD "
Q1376	I228	" +++ADD "
Q1410	I175	" +++ADD "
Q1420	I67	" +++ADD "
Q1420	I89	" +++ADD "
Q1420	I276	" +++ADD "
Q1420	I277	" +++ADD "
Q1421	I7	" ---drop "
Q1421	I54	" ---drop "
Q1421	I175	" ---drop "
Q1421	I276	" ---drop "
Q1421	I43	" +++ADD "
Q1424	I261	" +++ADD "
Q1435	I84	" +++ADD "
Q1436	I67	" ---drop "
Q1440	I7	" +++ADD "
Q1440	I13	" +++ADD "
Q1440	I17	" +++ADD "
Q1440	I19	" +++ADD "
Q1440	I265	" +++ADD "
Q1440	I276	" +++ADD "
Q1440	I278	" +++ADD "
Q1441	I7	" ---drop "
Q1441	I13	" ---drop "
Q1441	I14	" ---drop "
Q1441	I43	" ---drop "
Q1441	I265	" ---drop "
Q1441	I6	" +++ADD "
Q1441	I18	" +++ADD "
Q1441	I23	" +++ADD "
Q1441	I54	" +++ADD "
Q1441	I65	" +++ADD "
Q1441	I175	" +++ADD "
Q1441	I225	" +++ADD "
Q1442	I23	" ---drop "
Q1442	I228	" ---drop "
Q1442	I1	" +++ADD "
Q1442	I67	" +++ADD "
Q1447	I10	" +++ADD "
Q1447	I279	" +++ADD "
Q1464	I23	" +++ADD "
Q1464	I39	" +++ADD "
Q1474	I50	" +++ADD "
Q1474	I90	" +++ADD "
Q1475	I78	" ---drop "
Q1481	I7	" +++ADD "
Q1481	I310	" +++ADD "
Q1483	I228	" +++ADD "
Q1483	I270	" +++ADD "
Q1500	I265	" +++ADD "
Q1501	I6	" ---drop "
Q1510	I18	" ---drop "
Q1510	I23	" ---drop "
Q1510	I14	" +++ADD "
Q1527	I261	" ---drop "
Q1540	I255	" +++ADD "
Q1542	I261	" +++ADD "
Q1545	I302	" +++ADD "
Q1550	I261	" ---drop "
Q1553	I23	" +++ADD "
Q1554	I6	" +++ADD "
Q1554	I13	" +++ADD "
Q1554	I43	" +++ADD "
Q1555	I6	" ---drop "
Q1555	I43	" ---drop "
Q1555	I54	" ---drop "
Q1560	I261	" +++ADD "
Q1561	I78	" +++ADD "
Q1562	I50	" ---drop "
Q1568	I54	" +++ADD "
Q1572	I6	" +++ADD "
Q1578	I261	" ---drop "
Q1580	I43	" +++ADD "
Q1581	I6	" ---drop "
Q1581	I43	" ---drop "
Q1581	I54	" ---drop "
